Date,Price,Open,High,Low,Vol.,Change %
01/01/2001,273.00,278.50,294.50,268.00,410.55K,-2.33%
12/01/2000,279.50,256.00,280.00,252.00,142.43K,9.18%
11/01/2000,256.00,255.50,266.50,251.00,307.49K,0.49%
10/01/2000,254.75,265.50,280.50,250.50,364.34K,-3.87%
09/01/2000,265.00,250.75,266.00,240.00,187.26K,5.68%
08/01/2000,250.75,246.25,251.00,232.00,157.97K,1.83%
07/01/2000,246.25,260.50,261.50,237.50,72.62K,-5.11%
06/01/2000,259.50,276.50,281.00,258.50,375.81K,-5.55%
05/01/2000,274.75,248.50,285.50,243.00,228.46K,13.42%
04/01/2000,242.25,262.75,267.00,240.50,159.28K,-7.63%
03/01/2000,262.25,246.00,273.00,244.25,203.46K,6.17%
02/01/2000,247.00,256.00,273.50,244.00,345.41K,-3.61%
01/01/2000,256.25,249.00,269.00,241.00,345.62K,3.12%
12/01/1999,248.50,234.50,253.50,222.50,98.46K,6.65%
11/01/1999,233.00,255.25,261.50,230.00,325.65K,-8.90%
10/01/1999,255.75,276.00,276.75,250.50,343.44K,-7.25%
09/01/1999,275.75,264.50,290.00,0.00,169.70K,4.15%
08/01/1999,264.75,264.00,286.75,259.00,160.06K,0.38%
07/01/1999,263.75,253.00,264.00,230.50,100.12K,5.50%
06/01/1999,250.00,252.25,264.00,246.50,360.87K,-0.89%
05/01/1999,252.25,258.00,265.50,0.00,85.75K,-2.61%
04/01/1999,259.00,280.25,281.50,247.50,130.54K,-7.58%
03/01/1999,280.25,237.25,297.00,237.25,117.14K,18.12%
02/01/1999,237.25,274.00,274.50,236.50,279.41K,-13.88%
01/01/1999,275.50,276.50,294.00,263.00,298.22K,-0.27%
12/01/1998,276.25,277.00,285.25,257.00,85.29K,-0.27%
11/01/1998,277.00,293.75,295.50,274.00,285.20K,-5.86%
10/01/1998,294.25,269.25,304.00,267.00,400.70K,9.29%
09/01/1998,269.25,238.00,280.50,234.50,151.59K,13.37%
08/01/1998,237.50,252.50,264.00,237.00,134.46K,-5.94%
07/01/1998,252.50,275.00,282.50,251.00,50.61K,-8.60%
06/01/1998,276.25,284.00,298.00,267.00,278.30K,-2.81%
05/01/1998,284.25,288.50,309.00,282.75,121.92K,-1.90%
04/01/1998,289.75,320.00,321.00,289.50,135.98K,-9.52%
03/01/1998,320.25,327.50,341.50,318.00,83.09K,-2.21%
02/01/1998,327.50,337.75,347.00,316.00,219.41K,-2.89%
01/01/1998,337.25,327.00,348.00,319.25,240.44K,3.53%
12/01/1997,325.75,341.75,349.50,320.00,63.53K,-4.68%
11/01/1997,341.75,360.50,364.50,334.00,214.97K,-5.20%
10/01/1997,360.50,354.50,379.50,348.50,293.02K,1.76%
09/01/1997,354.25,376.00,384.00,352.50,109.35K,-6.35%
08/01/1997,378.25,362.00,382.00,348.00,135.90K,4.49%
07/01/1997,362.00,324.00,364.00,313.00,91.12K,11.81%
06/01/1997,323.75,361.00,372.00,319.50,234.61K,-10.19%
05/01/1997,360.50,422.00,424.00,357.00,111.34K,-14.78%
04/01/1997,423.00,397.50,449.00,368.00,97.09K,6.42%
03/01/1997,397.50,373.00,408.00,363.00,48.18K,6.57%
02/01/1997,373.00,358.50,380.00,351.00,144.26K,3.68%
01/01/1997,359.75,381.00,399.75,357.00,194.50K,-5.64%
12/01/1996,381.25,395.50,416.00,377.00,53.48K,-3.72%
11/01/1996,396.00,371.50,422.50,368.00,151.77K,6.67%
10/01/1996,371.25,435.00,439.00,370.00,248.07K,-14.85%
09/01/1996,436.00,448.25,462.00,415.50,89.91K,-2.79%
08/01/1996,448.50,439.00,482.75,437.25,93.82K,1.93%
07/01/1996,440.00,478.00,519.00,428.00,69.00K,-8.05%
06/01/1996,478.50,524.50,527.00,470.50,258.71K,-9.50%
05/01/1996,528.75,655.00,690.00,518.50,127.51K,-17.58%
04/01/1996,641.50,499.00,717.00,496.00,100.27K,28.49%
03/01/1996,499.25,512.25,750.00,474.50,75.22K,-2.59%
02/01/1996,512.50,518.00,533.00,495.00,198.37K,-1.35%
01/01/1996,519.50,512.00,527.50,473.00,400.65K,1.42%
12/01/1995,512.25,501.00,525.00,492.25,104.32K,2.14%
11/01/1995,501.50,498.50,505.50,480.00,195.16K,0.75%
10/01/1995,497.75,492.50,511.50,472.50,296.97K,1.12%
09/01/1995,492.25,450.00,496.75,444.00,118.64K,9.57%
08/01/1995,449.25,463.50,467.00,414.50,119.30K,-3.23%
07/01/1995,464.25,445.00,480.50,413.50,82.43K,4.09%
06/01/1995,446.00,375.50,452.00,368.00,227.96K,19.49%
05/01/1995,373.25,352.00,387.50,351.00,79.14K,6.49%
04/01/1995,350.50,341.00,359.00,340.50,60.49K,2.11%
03/01/1995,343.25,349.75,368.00,339.50,47.14K,-1.86%
02/01/1995,349.75,373.50,378.00,349.00,145.75K,-6.36%
01/01/1995,373.50,400.50,402.75,363.25,231.87K,-6.97%
12/01/1994,401.50,372.00,409.75,366.25,,7.86%
11/01/1994,372.25,384.50,393.00,359.50,,-3.19%
10/01/1994,384.50,402.50,418.75,384.00,,-4.71%
09/01/1994,403.50,363.25,405.00,361.50,,11.00%
08/01/1994,363.50,329.50,364.25,327.50,,9.98%
07/01/1994,330.50,311.50,336.00,303.50,,5.68%
06/01/1994,312.75,324.00,345.00,309.50,,-4.50%
05/01/1994,327.50,327.50,338.50,315.00,,0.31%
04/01/1994,326.50,332.50,351.00,313.00,,-0.99%
03/01/1994,329.75,342.50,346.00,327.00,,-3.72%
02/01/1994,342.50,371.00,378.50,340.00,,-7.87%
01/01/1994,371.75,377.00,394.50,361.00,,-1.72%
12/01/1993,378.25,349.00,379.75,348.00,,8.61%
11/01/1993,348.25,335.50,359.25,330.75,,3.80%
10/01/1993,335.50,318.50,340.00,312.50,,5.25%
09/01/1993,318.75,308.50,321.25,293.00,,3.24%
08/01/1993,308.75,303.50,317.00,298.00,,1.56%
07/01/1993,304.00,284.50,325.00,283.50,,6.67%
06/01/1993,285.00,287.75,291.00,277.00,,-1.13%
05/01/1993,288.25,349.00,370.00,287.00,,-17.17%
04/01/1993,348.00,350.00,364.00,342.00,,0.22%
03/01/1993,347.25,373.00,415.00,338.00,,-6.72%
02/01/1993,372.25,379.50,380.50,356.25,,-2.04%
01/01/1993,380.00,354.00,393.00,353.00,,7.42%
12/01/1992,353.75,378.00,378.75,348.75,,-6.85%
11/01/1992,379.75,355.75,380.75,352.75,,7.12%
10/01/1992,354.50,353.00,359.50,337.00,,1.21%
09/01/1992,350.25,323.00,350.50,318.50,,9.54%
08/01/1992,319.75,315.00,326.00,301.50,,0.79%
07/01/1992,317.25,345.50,353.00,317.00,,-9.23%
06/01/1992,349.50,353.50,377.00,345.00,,0.00%
05/01/1992,349.50,371.50,391.00,338.00,,-6.11%
04/01/1992,372.25,381.00,388.50,357.00,,-1.78%
03/01/1992,379.00,401.75,418.00,377.00,,-5.60%
02/01/1992,401.50,438.50,463.25,401.00,,-8.80%
01/01/1992,440.25,405.25,442.75,392.50,,8.77%
12/01/1991,404.75,367.00,407.00,361.25,,9.91%
11/01/1991,368.25,364.00,375.50,344.50,,1.31%
10/01/1991,363.50,335.00,369.25,334.00,,9.32%
09/01/1991,332.50,310.50,335.75,309.00,,7.09%
08/01/1991,310.50,295.50,311.50,278.00,,5.61%
07/01/1991,294.00,266.50,298.00,250.00,,11.26%
06/01/1991,264.25,289.25,305.00,255.50,,-7.93%
05/01/1991,287.00,271.00,299.00,270.00,,5.22%
04/01/1991,272.75,289.50,294.00,267.50,,-4.88%
03/01/1991,286.75,259.75,287.00,259.50,,10.39%
02/01/1991,259.75,263.00,263.50,248.00,,-1.24%
01/01/1991,263.00,260.50,264.00,244.50,,0.96%
12/01/1990,260.50,245.00,266.50,242.25,,6.33%
11/01/1990,245.00,261.25,270.25,238.00,,-6.49%
10/01/1990,262.00,275.25,280.00,260.00,,-5.67%
09/01/1990,277.75,262.50,278.75,255.25,,5.81%
08/01/1990,262.50,287.75,292.50,262.50,,-8.93%
07/01/1990,288.25,326.25,331.00,287.50,,-11.51%
06/01/1990,325.75,333.00,340.00,325.50,,-2.40%
05/01/1990,333.75,374.75,390.00,328.50,,-10.82%
04/01/1990,374.25,353.75,374.75,353.25,,6.40%
03/01/1990,351.75,391.50,408.00,347.00,,-10.55%
02/01/1990,393.25,375.63,398.25,373.25,,4.66%
