Date,Price,Open,High,Low,Vol.,Change %
09/01/1998,39.12,34.56,40.41,34.06,116.23M,13.39%
08/01/1998,34.50,38.59,38.91,34.44,87.90M,-10.67%
07/01/1998,38.62,36.88,39.69,35.41,109.58M,4.38%
06/01/1998,37.00,34.94,38.94,33.53,94.33M,7.15%
05/01/1998,34.53,36.25,36.34,34.06,69.15M,-3.41%
04/01/1998,35.75,36.66,38.75,34.03,101.52M,-2.64%
03/01/1998,36.72,37.59,38.22,35.53,83.39M,-2.57%
02/01/1998,37.69,34.25,37.75,34.03,82.80M,12.61%
01/01/1998,33.47,32.53,34.72,31.69,102.83M,1.61%
12/01/1997,32.94,31.69,33.66,31.56,95.67M,4.67%
11/01/1997,31.47,29.22,32.50,29.09,93.62M,9.69%
10/01/1997,28.69,29.06,31.06,26.50,129.27M,-0.52%
09/01/1997,28.84,28.38,30.28,27.56,119.90M,1.76%
08/01/1997,28.34,31.00,31.25,27.97,126.43M,-8.76%
07/01/1997,31.06,32.19,32.94,30.00,118.58M,-3.51%
06/01/1997,32.19,30.12,33.25,29.38,102.87M,7.30%
05/01/1997,30.00,30.31,31.31,29.12,89.75M,-1.83%
04/01/1997,30.56,26.44,30.75,25.56,105.86M,15.58%
03/01/1997,26.44,28.50,30.69,26.38,105.65M,-8.03%
02/01/1997,28.75,29.00,31.38,28.31,94.14M,-0.45%
01/01/1997,28.88,24.94,29.25,24.31,126.25M,16.08%
12/01/1996,24.88,26.56,26.88,24.00,84.06M,-6.54%
11/01/1996,26.62,24.88,27.00,24.44,82.14M,8.12%
10/01/1996,24.62,25.62,26.44,23.56,93.34M,-3.90%
09/01/1996,25.62,24.31,25.88,24.12,62.73M,4.06%
08/01/1996,24.62,23.88,26.69,23.88,65.20M,3.10%
07/01/1996,23.88,24.88,25.00,22.06,79.07M,-3.52%
06/01/1996,24.75,24.25,25.38,23.75,83.21M,1.68%
05/01/1996,24.34,23.00,24.59,22.09,98.43M,5.28%
04/01/1996,23.12,23.28,23.81,21.41,118.37M,0.26%
03/01/1996,23.06,23.56,24.56,22.75,122.03M,-1.37%
02/01/1996,23.38,24.06,25.09,23.09,156.62M,-2.58%
01/01/1996,24.00,21.38,24.12,20.78,123.28M,12.25%
12/01/1995,21.38,21.72,23.09,21.28,95.39M,-1.29%
11/01/1995,21.66,20.31,21.81,19.91,72.78M,6.28%
10/01/1995,20.38,18.41,21.03,18.28,92.54M,9.98%
09/01/1995,18.53,17.25,18.72,17.09,68.44M,7.42%
08/01/1995,17.25,17.88,17.88,16.72,65.40M,-3.85%
07/01/1995,17.94,16.81,17.94,16.09,87.11M,6.28%
06/01/1995,16.88,16.50,17.81,16.34,75.04M,2.12%
05/01/1995,16.53,16.19,16.91,15.41,112.84M,1.72%
04/01/1995,16.25,14.84,16.28,14.59,91.01M,9.21%
03/01/1995,14.88,14.16,15.75,14.09,101.68M,4.86%
02/01/1995,14.19,14.59,14.59,13.88,86.06M,-2.34%
01/01/1995,14.53,13.66,14.88,13.41,91.21M,6.14%
12/01/1994,13.69,13.41,13.94,13.03,87.55M,2.62%
11/01/1994,13.34,13.56,14.12,12.81,109.47M,-2.34%
10/01/1994,13.66,12.97,14.03,12.38,103.62M,5.56%
09/01/1994,12.94,12.53,13.09,12.09,95.74M,3.27%
08/01/1994,12.53,11.75,12.66,11.66,136.17M,6.64%
07/01/1994,11.75,10.78,11.91,10.56,100.25M,9.61%
06/01/1994,10.72,11.03,11.06,10.56,77.76M,-3.07%
05/01/1994,11.06,10.34,11.22,10.12,90.80M,6.96%
04/01/1994,10.34,9.12,10.47,9.06,102.33M,9.53%
03/01/1994,9.44,10.03,10.22,9.00,106.47M,-5.88%
